Age,M,F
0-4,36747648,33913578
5-9,39215022,35566357
10-14,43538439,38819839
15-19,45962008,40273593
20-24,45241855,38890814
25-29,43558058,37663272
30-34,45009032,39697429
35-39,48636490,43685056
40-44,64619968,60533236
45-49,53280282,50783703
50-54,46924650,45115404
55-59,56569453,54979589
60-64,58746276,59057744
65-69,46019687,47308276
70-74,31537171,34063126
75-79,24136059,29027388
80-84,11903208,16330501
85-89,4440390,7038571
90-94,1456479,2849800
95-99,290429,811622
100+,29699,146301
