Age,M,F
0-4,44566659,38180282
5-9,45201653,39490185
10-14,47927807,42552312
15-19,59428849,54443271
20-24,63470641,59688011
25-29,49023329,46428804
30-34,54732593,51896873
35-39,65345392,62662519
40-44,60837759,58805499
45-49,47687007,45573666
50-54,42939232,41304217
55-59,38652787,37615712
60-64,24994982,24328692
65-69,19419439,18628839
70-74,15191762,15564601
75-79,9379642,10934983
80-84,4452865,6027252
85-89,1684012,2775202
90-94,494208,948329
95-99,76858,193819
100+,3542,15394
