Age,M,F
0-4,38490984,35014995
5-9,42859714,38340556
10-14,45848919,40314332
15-19,45778032,39469409
20-24,44030218,37931916
25-29,44686548,39222773
30-34,47604144,42497028
35-39,62151661,57712205
40-44,57718331,54763772
45-49,47143447,45089342
50-54,55268917,53177625
55-59,61596610,60719193
60-64,52306364,52398691
65-69,37810452,38695625
70-74,30875033,33855338
75-79,19691534,23725874
80-84,8602635,11753065
85-89,3810571,5941741
90-94,1292006,2543068
95-99,250635,685630
100+,21255,107450
