Age,M,F
0-4,39188925,35525575
5-9,43674389,38933561
10-14,46119084,40404315
15-19,45502991,39110647
20-24,43855111,37900734
25-29,45313322,39923646
30-34,48958558,43908931
35-39,65102674,60859235
40-44,53816341,51139637
45-49,47644812,45568603
50-54,58012679,55862008
55-59,61423133,60740190
60-64,49887743,49774411
65-69,36440637,37319919
70-74,31293039,34293003
75-79,17734547,21509973
80-84,8228126,11153299
85-89,3681531,5803294
90-94,1176574,2398370
95-99,203124,586281
100+,19597,99682
