Age,M,F
0-4,45158962,38693389
5-9,44678571,38864036
10-14,47378448,41971440
15-19,55272421,50190154
20-24,66356075,62256064
25-29,50099398,47433536
30-34,52013362,49344466
35-39,64168603,61308786
40-44,62855123,60920572
45-49,50026461,47874555
50-54,42203076,40577005
55-59,41120853,39989716
60-64,26453885,25989676
65-69,19686804,18997973
70-74,15478425,15775576
75-79,9663818,11323034
80-84,4595694,6225926
85-89,1689756,2795977
90-94,489142,953192
95-99,77524,197208
100+,3911,16817
