Age,M,F
0-4,46105573,39561974
5-9,44291269,38270223
10-14,46038234,40520394
15-19,49851344,44609458
20-24,66286274,61696029
25-29,54956452,51926022
30-34,48896237,46407316
35-39,60125561,57201638
40-44,64970371,62954207
45-49,54887944,52847522
50-54,43111682,41448175
55-59,42973882,41825099
60-64,30641029,30406640
65-69,20733515,20422440
70-74,15766638,16069847
75-79,10248574,11924858
80-84,5037301,6816389
85-89,1842063,3012849
90-94,498173,1020120
95-99,73026,195569
100+,4846,20876
