Age,M,F
0-4,45618709,40292964
5-9,46220512,39943566
10-14,44718792,38426066
15-19,44682603,39029878
20-24,47509883,42211552
25-29,58727727,53894659
30-34,62640869,59083413
35-39,48264226,45892206
40-44,53781444,51258326
45-49,63910330,61725191
50-54,58900831,57569816
55-59,45296934,44090425
60-64,39115103,38929869
65-69,32970472,34001830
70-74,18538987,20140683
75-79,11554656,13329825
80-84,6656302,8871835
85-89,2690359,4388711
90-94,729890,1465660
95-99,138507,373275
100+,10647,50256
