Age,M,F
0-4,42740656,38169372
5-9,46005382,40463896
10-14,45922644,39587929
15-19,44284554,38149036
20-24,44990038,39467245
25-29,47920348,42731223
30-34,62556244,57990674
35-39,58157891,55062355
40-44,47639663,45417447
45-49,56167002,53733852
50-54,63270656,61754991
55-59,54839405,53973641
60-64,41161025,40812529
65-69,36308836,37495513
70-74,25609860,28114412
75-79,13227515,15778426
80-84,7223146,9583194
85-89,3288234,5239972
90-94,956075,1947822
95-99,170749,469714
100+,14740,73498
