Age,M,F
0-4,46500753,40381682
5-9,45082900,38691030
10-14,44454445,38671563
15-19,47219427,41837731
20-24,54968650,49934266
25-29,65942807,61943546
30-34,49720596,47157977
35-39,51587093,49051008
40-44,63551096,60897239
45-49,62029741,60375860
50-54,49017464,47239559
55-59,40770221,39687594
60-64,38754673,38504726
65-69,23664170,24208762
70-74,16106528,16704411
75-79,10994469,12625678
80-84,5695760,7815789
85-89,2111808,3411203
90-94,558252,1147908
95-99,111731,286795
100+,6781,30274
