Age,M,F
0-4,43618041,38827503
5-9,46249680,40523550
10-14,45656257,39240131
15-19,44115993,38125137
20-24,45622406,40171890
25-29,49284391,44149016
30-34,65521745,61146147
35-39,54235468,51425143
40-44,48147343,45900946
45-49,58956438,56445426
50-54,63097125,61775700
55-59,52324540,51284276
60-64,39713795,39383763
65-69,36795051,37970165
70-74,23288974,25595727
75-79,12718638,15006603
80-84,7080234,9455038
85-89,3084699,5010095
90-94,860373,1787325
95-99,136798,403048
100+,13771,67713
