Age,M,F
0-4,48681088,43015470
5-9,47477552,42104373
10-14,63985790,59082351
15-19,59559156,56032504
20-24,49073661,46379389
25-29,58143663,54977592
30-34,66274091,63612227
35-39,58838491,56442001
40-44,46133945,43894005
45-49,44863699,42907360
50-54,36749280,35424766
55-59,25461328,24021469
60-64,21656926,19970965
65-69,18310284,17688606
70-74,12882919,13433438
75-79,7405735,8854383
80-84,3729990,5288051
85-89,1449193,2397581
90-94,308752,669622
95-99,41182,118318
100+,2017,9042
