Age,M,F
0-4,37949001,34641260
5-9,41933342,37639120
10-14,45447113,40101216
15-19,45987510,39810927
20-24,44308381,38072114
25-29,44123705,38573914
30-34,46885680,41738358
35-39,57976100,53372880
40-44,61773128,58500566
45-49,47377374,45302997
50-54,52347164,50358736
55-59,61209123,60062012
60-64,54674448,54956511
65-69,39620977,40548853
70-74,30305700,33164900
75-79,21621953,25977191
80-84,9032833,12479938
85-89,3910936,6072761
90-94,1364314,2637950
95-99,288029,764908
100+,23094,115829
