Age,M,F
0-4,45317964,39464821
5-9,47013929,41562855
10-14,55634496,50500117
15-19,66766299,62570995
20-24,50520697,47743547
25-29,52479011,49660315
30-34,64770386,61700129
35-39,63560712,61394813
40-44,50765865,48390779
45-49,43135089,41224040
50-54,42567347,40972877
55-59,28165727,27138277
60-64,22060890,20534806
65-69,19027076,18152681
70-74,13866501,14472620
75-79,7993652,9386723
80-84,3797809,5411498
85-89,1552416,2522730
90-94,350424,732255
95-99,50121,137724
100+,2445,11181
