Age,M,F
0-4,41840230,37510048
5-9,45581129,40226554
10-14,46132365,39927772
15-19,44564178,38288759
20-24,44424588,38815576
25-29,47198264,41969754
30-34,58358099,53636340
35-39,62234917,58812921
40-44,47874650,45631635
45-49,53192583,50883431
50-54,62845775,61070903
55-59,57273264,56576424
60-64,43105369,42751137
65-69,35550861,36675438
70-74,28010763,30695919
75-79,13850948,16736137
80-84,7361461,9764070
85-89,3428615,5410324
90-94,1023816,2072466
95-99,198296,526747
100+,15736,79411
