Age,M,F
0-4,46513426,40203923
5-9,44704119,38428335
10-14,44859066,39172307
15-19,47757367,42417498
20-24,59064779,54148012
25-29,63015582,59341749
30-34,48605353,46123731
35-39,54234310,51554680
40-44,64651157,62194383
45-49,59971775,58226423
50-54,46684168,44924192
55-59,41409393,40331277
60-64,36383867,36161455
65-69,22319217,22609852
70-74,15842605,16322781
75-79,10803661,12398307
80-84,5530126,7511678
85-89,2051348,3291394
90-94,563435,1133918
95-99,111808,278180
100+,6053,26645
