Age,M,F
0-4,47024075,41270142
5-9,46894481,41476951
10-14,59857650,54826624
15-19,63761127,59892760
20-24,49361332,46658244
25-29,55127284,52139309
30-34,65855152,62964191
35-39,61432503,59176925
40-44,48323059,45996986
45-49,43842620,41916770
50-54,39971389,38508168
55-59,26600426,25394540
60-64,21771431,20151467
65-69,18684610,17930213
70-74,13368670,13964052
75-79,7695301,9085651
80-84,3761311,5342044
85-89,1530336,2489492
90-94,341182,717069
95-99,49517,136139
100+,2223,10106
