Age,M,F
0-4,40955642,36863724
5-9,45009965,39848145
10-14,46252091,40203421
15-19,44883691,38508576
20-24,44019566,38309023
25-29,46640808,41371124
30-34,54278617,49426169
35-39,65123435,61385468
40-44,48973897,46650562
45-49,50602359,48406771
50-54,61809758,59808349
55-59,59301785,58699503
60-64,45316455,44983307
65-69,35204941,36220986
70-74,29932516,32766562
75-79,14775316,18016421
80-84,7543944,10083306
85-89,3501721,5530532
90-94,1045055,2147271
95-99,203144,548446
100+,16841,85649
