Age,M,F
0-4,46416760,39946907
5-9,44413913,38269418
10-14,45412632,39814700
15-19,48470764,43173244
20-24,63287168,58514124
25-29,58899621,55567842
30-34,48367782,45906077
35-39,57269145,54440137
40-44,65119392,62907040
45-49,57479915,55583005
50-54,44617814,42908214
55-59,42409898,41303991
60-64,33448924,33246862
65-69,21397833,21383286
70-74,15765016,16149143
75-79,10544857,12162532
80-84,5309074,7168840
85-89,1966176,3170290
90-94,539363,1089038
95-99,95172,241559
100+,5412,23528
