Age,M,F
0-4,37473698,34328607
5-9,40958482,36887005
10-14,44927537,39779720
15-19,46099347,40076788
20-24,44623966,38288219
25-29,43722483,38070852
30-34,46333050,41143168
35-39,53925846,49182430
40-44,64650303,61066084
45-49,48475485,46320360
50-54,49814697,47916684
55-59,60244859,58849132
60-64,56677058,57060222
65-69,41701339,42700423
70-74,30168212,32862997
75-79,23078975,27760306
80-84,9681568,13479019
85-89,4011608,6263941
90-94,1374100,2679459
95-99,293724,789466
100+,25112,125005
